x,y,response,size,octave
135.83,268.99,0.008111,5.614,13
136.09,49.08,0.007495,2.445,4
137.03,38.36,0.010660,2.039,2
137.07,159.43,0.005263,3.050,6
137.14,175.99,0.006567,3.217,7
137.18,327.91,0.005284,2.858,6
137.64,35.59,0.006820,2.020,2
139.61,163.73,0.006598,3.790,9
139.61,163.73,0.006598,3.790,9
139.83,73.82,0.005449,2.223,3
139.99,89.71,0.006231,2.262,3
140.77,83.32,0.005798,1.976,1
140.77,83.32,0.005798,1.976,1
141.10,168.92,0.005613,3.661,9
141.39,174.20,0.006969,2.953,6
141.39,174.20,0.006969,2.953,6
141.66,224.51,0.005506,10.524,21
141.66,224.51,0.005506,10.524,21
141.78,51.39,0.005526,3.085,7
142.08,214.03,0.006155,5.062,12
142.39,208.21,0.005668,5.472,13
142.42,86.81,0.006885,2.470,4
142.48,147.91,0.005469,7.193,16
142.86,188.86,0.009970,5.340,13
143.02,201.56,0.006852,2.372,4
143.34,69.04,0.006454,1.916,1
144.66,166.01,0.005599,2.949,6
144.66,166.01,0.005599,2.949,6
145.52,327.06,0.007385,2.668,5
145.58,171.58,0.008817,3.318,7
145.61,62.73,0.005107,2.013,2
145.93,74.86,0.008917,2.135,2
145.93,74.86,0.008917,2.135,2
145.94,253.99,0.014102,1.740,0
146.26,30.00,0.013954,9.731,20
146.49,271.41,0.007547,5.033,12
146.81,158.08,0.006292,8.033,18
146.90,48.91,0.013790,2.781,5
146.99,55.84,0.010121,5.334,13
146.99,55.84,0.010121,5.334,13
147.25,65.57,0.005303,2.021,2
148.09,45.50,0.010508,3.212,7
148.17,168.88,0.007598,1.997,2
148.28,184.74,0.007641,4.881,12
148.28,184.74,0.007641,4.881,12
148.91,216.99,0.008536,6.012,14
149.50,161.80,0.005212,2.822,6
149.57,216.10,0.008254,7.121,16
151.13,74.54,0.006484,5.199,13
151.70,184.42,0.006490,1.697,0
151.79,227.43,0.005214,2.694,5
152.12,33.13,0.008856,1.782,0
152.80,35.51,0.005181,1.732,0
153.31,174.35,0.018152,4.583,11
153.54,186.90,0.005085,2.739,5
153.64,179.11,0.017149,4.096,10
153.64,179.11,0.017149,4.096,10
153.86,64.73,0.007274,1.911,1
154.02,162.09,0.014037,2.406,4
154.13,43.93,0.005519,3.800,9
154.13,43.93,0.005519,3.800,9
154.13,73.16,0.005279,2.648,5
154.48,29.18,0.009250,2.912,6
154.85,67.33,0.010045,2.233,3
155.89,287.84,0.007142,4.410,11
156.14,36.27,0.005238,2.461,4
156.73,50.80,0.006446,8.934,19
157.62,30.56,0.006652,1.758,0
158.77,40.17,0.010044,3.697,9
158.77,40.17,0.010044,3.697,9
158.77,40.17,0.010044,3.697,9
158.92,33.55,0.011658,2.689,5
159.49,51.95,0.008608,2.029,2
159.63,279.31,0.005835,15.769,25
159.76,274.15,0.008406,3.989,10
160.18,36.63,0.007749,2.123,2
160.37,329.17,0.006304,2.091,2
160.44,43.50,0.005749,1.737,0
160.51,251.03,0.012264,20.905,29
160.75,28.02,0.008653,3.162,7
161.67,79.64,0.005535,1.905,1
161.67,79.64,0.005535,1.905,1
163.02,132.03,0.006893,3.755,9
163.21,34.95,0.015200,13.422,24
163.38,238.92,0.014701,4.732,12
163.64,34.05,0.015461,12.486,23
164.22,50.81,0.009970,2.902,6
