x,y,response,size,octave
254.00,78.00,83.000000,31.000,0
244.00,73.00,89.000000,31.000,0
258.00,68.00,42.000000,31.000,0
248.00,67.00,85.000000,31.000,0
446.00,137.00,86.000000,31.000,0
440.00,136.00,73.000000,31.000,0
445.00,129.00,57.000000,31.000,0
436.00,133.00,22.000000,31.000,0
110.00,52.00,25.000000,31.000,0
97.00,49.00,70.000000,31.000,0
105.00,46.00,20.000000,31.000,0
100.00,41.00,69.000000,31.000,0
128.00,50.00,63.000000,31.000,0
113.00,52.00,51.000000,31.000,0
124.00,39.00,61.000000,31.000,0
119.00,48.00,33.000000,31.000,0
466.00,287.00,69.000000,31.000,0
452.00,288.00,43.000000,31.000,0
461.00,279.00,39.000000,31.000,0
451.00,274.00,78.000000,31.000,0
253.00,138.00,89.000000,31.000,0
250.00,143.00,75.000000,31.000,0
256.00,133.00,156.000000,31.000,0
244.00,126.00,172.000000,31.000,0
541.00,332.00,37.000000,31.000,0
526.00,330.00,59.000000,31.000,0
536.00,323.00,59.000000,31.000,0
530.00,324.00,25.000000,31.000,0
239.00,119.00,140.000000,31.000,0
232.00,119.00,22.000000,31.000,0
237.00,111.00,59.000000,31.000,0
229.00,102.00,79.000000,31.000,0
280.00,92.00,100.000000,31.000,0
271.00,94.00,152.000000,31.000,0
274.00,88.00,158.000000,31.000,0
266.00,83.00,73.000000,31.000,0
295.00,77.00,136.000000,31.000,0
286.00,73.00,154.000000,31.000,0
297.00,67.00,115.000000,31.000,0
286.00,60.00,84.000000,31.000,0
242.00,135.00,67.000000,31.000,0
229.00,136.00,109.000000,31.000,0
236.00,134.00,92.000000,31.000,0
229.00,134.00,143.000000,31.000,0
239.00,161.00,39.000000,31.000,0
229.00,158.00,42.000000,31.000,0
239.00,150.00,154.000000,31.000,0
231.00,147.00,143.000000,31.000,0
259.00,98.00,46.000000,31.000,0
246.00,95.00,70.000000,31.000,0
255.00,84.00,111.000000,31.000,0
249.00,91.00,128.000000,31.000,0
255.00,120.00,170.000000,31.000,0
246.00,121.00,162.000000,31.000,0
256.00,104.00,155.000000,31.000,0
248.00,107.00,81.000000,31.000,0
275.00,74.00,83.000000,31.000,0
270.00,75.00,88.000000,31.000,0
280.00,63.00,89.000000,31.000,0
271.00,65.00,59.000000,31.000,0
238.00,95.00,120.000000,31.000,0
232.00,100.00,93.000000,31.000,0
236.00,91.00,137.000000,31.000,0
314.00,97.00,121.000000,31.000,0
303.00,94.00,124.000000,31.000,0
313.00,90.00,147.000000,31.000,0
300.00,82.00,154.000000,31.000,0
277.00,113.00,119.000000,31.000,0
269.00,113.00,153.000000,31.000,0
272.00,109.00,114.000000,31.000,0
264.00,109.00,139.000000,31.000,0
293.00,92.00,150.000000,31.000,0
283.00,95.00,117.000000,31.000,0
291.00,89.00,161.000000,31.000,0
282.00,86.00,113.000000,31.000,0
444.00,294.00,29.000000,31.000,0
436.00,292.00,64.000000,31.000,0
446.00,281.00,62.000000,31.000,0
441.00,277.00,66.000000,31.000,0
313.00,78.00,118.000000,31.000,0
304.00,73.00,65.000000,31.000,0
313.00,67.00,90.000000,31.000,0
300.00,68.00,130.000000,31.000,0
293.00,120.00,78.000000,31.000,0
287.00,118.00,120.000000,31.000,0
294.00,106.00,147.000000,31.000,0
282.00,103.00,122.000000,31.000,0
117.00,113.00,32.000000,31.000,0
103.00,103.00,23.000000,31.000,0
164.00,130.00,31.000000,31.000,0
134.00,130.00,22.000000,31.000,0
161.00,110.00,20.000000,31.000,0
130.00,120.00,35.000000,31.000,0
125.00,175.00,13.000000,31.000,0
99.00,160.00,20.000000,31.000,0
154.00,181.00,71.000000,31.000,0
154.00,162.00,64.000000,31.000,0
139.00,163.00,29.000000,31.000,0
34.00,135.00,140.000000,31.000,0
39.00,113.00,20.000000,31.000,0
22.00,111.00,23.000000,31.000,0
80.00,142.00,25.000000,31.000,0
63.00,128.00,26.000000,31.000,0
54.00,118.00,29.000000,31.000,0
47.00,180.00,17.000000,31.000,0
27.00,167.00,27.000000,31.000,0
69.00,187.00,13.000000,31.000,0
84.00,161.00,21.000000,31.000,0
71.00,160.00,24.000000,31.000,0
123.00,85.00,32.000000,31.000,0
164.00,90.00,28.000000,31.000,0
155.00,67.00,39.000000,31.000,0
53.00,86.00,30.000000,31.000,0
56.00,63.00,115.000000,31.000,0
268.00,130.00,92.000000,31.000,0
